hotel,auteur,n_avis,score_moy,score_max,centralite
BW_Litteraire_Marcel_Ayme,claude-alain haussener,1,0.3000583549405125,0.3000583549405125,0.3664225941422594
BW_Litteraire_Marcel_Ayme,Ron Vlasveld,1,0.2987862309389849,0.2987862309389849,0.36516736401673644
BW_Litteraire_Marcel_Ayme,Chopin 14000,1,0.2982871165933062,0.2982871165933062,0.3635983263598326
BW_Litteraire_Marcel_Ayme,Ron,1,0.2982676934888885,0.2982676934888885,0.3632845188284519
BW_Litteraire_Marcel_Ayme,annanA1987N,1,0.2978389073854175,0.2978389073854175,0.3623430962343096
BW_Litteraire_Marcel_Ayme,Pia Kramer,1,0.2974596718323758,0.2974596718323758,0.3614016736401674
BW_Litteraire_Marcel_Ayme,MichielG528,1,0.2969118818541717,0.2969118818541717,0.3595188284518829
BW_Litteraire_Marcel_Ayme,Thomas Römer,1,0.2960932660721688,0.2960932660721688,0.3582635983263598
BW_Litteraire_Marcel_Ayme,daniel torrejon,1,0.2941643668596165,0.2941643668596165,0.3551255230125523
BW_Litteraire_Marcel_Ayme,Jo Seph,1,0.2933011629455638,0.2933011629455638,0.352928870292887
BW_Litteraire_Marcel_Ayme,Par Khehra,1,0.2926884972955315,0.2926884972955315,0.3510460251046025
BW_Litteraire_Marcel_Ayme,C4pul1ne,1,0.2924174803877107,0.2924174803877107,0.35010460251046027
BW_Litteraire_Marcel_Ayme,Tanja Zaremba,1,0.29211112452911,0.29211112452911,0.34947698744769873
BW_Litteraire_Marcel_Ayme,Marie Dasque,1,0.2918606731828881,0.2918606731828881,0.34884937238493724
BW_Litteraire_Marcel_Ayme,Murielle Schmitz,1,0.2914760019347123,0.2914760019347123,0.3485355648535565
BW_Litteraire_Marcel_Ayme,Harald Heitmann,1,0.2914166339537316,0.2914166339537316,0.347907949790795
BW_Litteraire_Marcel_Ayme,Mireille COSTE RANDRETSA,1,0.2909188677994311,0.2909188677994311,0.34633891213389123
BW_Litteraire_Marcel_Ayme,David Manneh,1,0.2906597604017354,0.2906597604017354,0.3447698744769874
BW_Litteraire_Marcel_Ayme,Francesco R,1,0.2898284506224792,0.2898284506224792,0.34194560669456064
BW_Litteraire_Marcel_Ayme,Shelly Ross,1,0.2898194637585418,0.2898194637585418,0.3416317991631799
BW_Litteraire_Marcel_Ayme,Yann Causse,1,0.2895444940612313,0.2895444940612313,0.34100418410041844
BW_Litteraire_Marcel_Ayme,Uli P.,1,0.2888350195596638,0.2888350195596638,0.3403765690376569
BW_Litteraire_Marcel_Ayme,LinneaH73,1,0.2887366483591808,0.2887366483591808,0.3397489539748954
BW_Litteraire_Marcel_Ayme,Navigator45860120426,1,0.2884132336382585,0.2884132336382585,0.33880753138075315
BW_Litteraire_Marcel_Ayme,didier chevalier,1,0.2882913322709677,0.2882913322709677,0.3381799163179916
BW_Litteraire_Marcel_Ayme,Davide Foschi (Argaar TantaRes),1,0.2881372382358833,0.2881372382358833,0.3375523012552301
BW_Litteraire_Marcel_Ayme,Natalia Demina,1,0.2879449146713623,0.2879449146713623,0.3362970711297071
BW_Litteraire_Marcel_Ayme,Damian Vergani,1,0.2876393599777473,0.2876393599777473,0.3353556485355649
BW_Litteraire_Marcel_Ayme,Michel Blanchin,1,0.2869670288655676,0.2869670288655676,0.33253138075313804
BW_Litteraire_Marcel_Ayme,Emma Walker,1,0.286396233727834,0.286396233727834,0.33127615062761506
BW_Litteraire_Marcel_Ayme,Nigel Eastham,1,0.2856842835219177,0.2856842835219177,0.3303347280334728
BW_Litteraire_Marcel_Ayme,Colin Snook,1,0.2851357417557747,0.2851357417557747,0.3284518828451883
BW_Litteraire_Marcel_Ayme,Jacek Łysek,1,0.2848947531269405,0.2848947531269405,0.327510460251046
BW_Litteraire_Marcel_Ayme,Franck M.,1,0.2845171840082392,0.2845171840082392,0.3265690376569038
BW_Litteraire_Marcel_Ayme,Karel P.,1,0.2841509111277481,0.2841509111277481,0.3253138075313807
BW_Litteraire_Marcel_Ayme,Thomas Bongiorno,1,0.2840615887126513,0.2840615887126513,0.32499999999999996
BW_Litteraire_Marcel_Ayme,Lee Choo,1,0.2834768168214771,0.2834768168214771,0.3234309623430962
BW_Litteraire_Marcel_Ayme,Andreaepao,1,0.2834543608995103,0.2834543608995103,0.3228033472803347
BW_Litteraire_Marcel_Ayme,Art et Porcelaine,1,0.2821944735015466,0.2821944735015466,0.32092050209205025
BW_Litteraire_Marcel_Ayme,Giuseppe Riezzo,1,0.2814694847139998,0.2814694847139998,0.3190376569037657
BW_Litteraire_Marcel_Ayme,Alicia Morgan,1,0.2808474368530065,0.2808474368530065,0.3162133891213389
BW_Litteraire_Marcel_Ayme,Maria Teresa Atzei,1,0.2807652339799345,0.2807652339799345,0.3158995815899581
BW_Litteraire_Marcel_Ayme,Sylvianne Gobet,1,0.2802555446928622,0.2802555446928622,0.31464435146443515
BW_Litteraire_Marcel_Ayme,petervanslagmolen,1,0.2802542668832538,0.2802542668832538,0.3143305439330544
